Paso,Ano,Mes,Inicio,Final,Fecha,08_18_003,08_18_005,08_18_086,08_24_005,08_24_007,08_24_008,08_24_010,08_24_031,08_24_032,08_24_033
1,1980,OCT,0,31,1/10/1980,,,,,,,,,,
2,,NOV,31,61,1/11/1980,,,,,,,,,,
3,,DIC,61,92,1/12/1980,,,,,,,,,,
4,,ENE,92,123,1/01/1981,,,,711.82,,,,,,
5,,FEB,123,151,1/02/1981,,,,,,,,,,
6,,MAR,151,182,1/03/1981,,,,,,,,,,
7,,ABR,182,212,1/04/1981,,,,,,,,,,
8,,MAY,212,243,1/05/1981,,,,,,,,,,
9,,JUN,243,273,1/06/1981,,,,,,,,,,
10,,JUL,273,304,1/07/1981,,,,711.55,,,,,,
11,,AGO,304,335,1/08/1981,,,,,,,,,,
12,,SEPT,335,365,1/09/1981,,,,,,,,,,
13,1981,OCT,365,396,1/10/1981,,,,,,,,,,
14,,NOV,396,426,1/11/1981,,,,711.05,,,,,,
15,,DIC,426,457,1/12/1981,,,,,,,,,,
16,,ENE,457,488,1/01/1982,,,,711.43,,,,,,
17,,FEB,488,516,1/02/1982,,,,,,,,,,
18,,MAR,516,547,1/03/1982,,,,,,,,,,
19,,ABR,547,577,1/04/1982,,,,,,,,,,
20,,MAY,577,608,1/05/1982,,,,,,,,,,
21,,JUN,608,638,1/06/1982,,,,,,,727.17,,,
22,,JUL,638,669,1/07/1982,,,,,,,,,,
23,,AGO,669,700,1/08/1982,,,,,,,,,,
24,,SEPT,700,730,1/09/1982,,,,,,,,,,
25,1982,OCT,730,761,1/10/1982,,,,,,,,,,
26,,NOV,761,791,1/11/1982,,,,,,,,,,
27,,DIC,791,822,1/12/1982,,,,,,,,,,
28,,ENE,822,853,1/01/1983,,,,711.67,,,728.29,,,
29,,FEB,853,881,1/02/1983,,,,,,,,,,
30,,MAR,881,912,1/03/1983,,,,,,,,,,
31,,ABR,912,942,1/04/1983,,,,711.54,,,727.98,,,
32,,MAY,942,973,1/05/1983,,,,,,,,,,
33,,JUN,973,1003,1/06/1983,,,,,,,,,,
34,,JUL,1003,1034,1/07/1983,,,,,,,,,,
35,,AGO,1034,1065,1/08/1983,,,,,,,,,,
36,,SEPT,1065,1095,1/09/1983,,,,,,,,,,
37,1983,OCT,1095,1126,1/10/1983,,,,,,,,,,
38,,NOV,1126,1156,1/11/1983,,,,,,,,,,
39,,DIC,1156,1187,1/12/1983,,,,,,,,,,
40,,ENE,1187,1218,1/01/1984,,,,,,,,,,
41,,FEB,1218,1247,1/02/1984,,,,,,,,,,
42,,MAR,1247,1278,1/03/1984,,,,,,,,,,
43,,ABR,1278,1308,1/04/1984,,,,,,,,,,
44,,MAY,1308,1339,1/05/1984,,,,,,,,,,
45,,JUN,1339,1369,1/06/1984,,,,,,,,,,
46,,JUL,1369,1400,1/07/1984,,,,,,,,,,
47,,AGO,1400,1431,1/08/1984,,,,,,,,,,
48,,SEPT,1431,1461,1/09/1984,,,,,,,,,,
49,1984,OCT,1461,1492,1/10/1984,,,,,,,,,,
50,,NOV,1492,1522,1/11/1984,,,,,,,,,,
51,,DIC,1522,1553,1/12/1984,,,,,,,,,,
52,,ENE,1553,1584,1/01/1985,,,,714.06,,,725.95,,,
53,,FEB,1584,1612,1/02/1985,,,,,,,,,,
54,,MAR,1612,1643,1/03/1985,,,,,,,,,,
55,,ABR,1643,1673,1/04/1985,,,,,,,,,,
56,,MAY,1673,1704,1/05/1985,,,,,,,,,,
57,,JUN,1704,1734,1/06/1985,,,,,,,,,,
58,,JUL,1734,1765,1/07/1985,,,,,,,,,,
59,,AGO,1765,1796,1/08/1985,,,,,,,,,,
60,,SEPT,1796,1826,1/09/1985,,,,,,,,,,
61,1985,OCT,1826,1857,1/10/1985,,,,,,,724.36,,,
62,,NOV,1857,1887,1/11/1985,,,,,,,,,,
63,,DIC,1887,1918,1/12/1985,,,,,,,,,,
64,,ENE,1918,1949,1/01/1986,,,,,,,,,,
65,,FEB,1949,1977,1/02/1986,,,,,,,,,,
66,,MAR,1977,2008,1/03/1986,,,,,,,,,,
67,,ABR,2008,2038,1/04/1986,,,,,,,,,,
68,,MAY,2038,2069,1/05/1986,,,,,,,,,,
69,,JUN,2069,2099,1/06/1986,,,,,,,,,,
70,,JUL,2099,2130,1/07/1986,,,,,,,,,,
71,,AGO,2130,2161,1/08/1986,,,,,,,,,,
72,,SEPT,2161,2191,1/09/1986,,,,,,,,,,
73,1986,OCT,2191,2222,1/10/1986,,,,,,,,,,
74,,NOV,2222,2252,1/11/1986,,,,711.22,,,723.71,,,
75,,DIC,2252,2283,1/12/1986,,,,,,,,,,
76,,ENE,2283,2314,1/01/1987,,,,,,,,,,
77,,FEB,2314,2342,1/02/1987,,,,,,,,,,
78,,MAR,2342,2373,1/03/1987,,,,,,,,,,
79,,ABR,2373,2403,1/04/1987,,,,,,,,,,
80,,MAY,2403,2434,1/05/1987,,,,,,,,,,
81,,JUN,2434,2464,1/06/1987,,,,709.4,,,723.98,,,
82,,JUL,2464,2495,1/07/1987,,,,,,,,,,
83,,AGO,2495,2526,1/08/1987,,,,,,,,,,
84,,SEPT,2526,2556,1/09/1987,,,,,,,,,,
85,1987,OCT,2556,2587,1/10/1987,,,,710.6,,,721.72,,,
86,,NOV,2587,2617,1/11/1987,,,,,,,,,,
87,,DIC,2617,2648,1/12/1987,,,,,,,,,,
88,,ENE,2648,2679,1/01/1988,,,,,,,,,,
89,,FEB,2679,2708,1/02/1988,,,,,,,,,,
90,,MAR,2708,2739,1/03/1988,,,,,,,,,,
91,,ABR,2739,2769,1/04/1988,,,,,,,,,,
92,,MAY,2769,2800,1/05/1988,,,,,,,,,,
93,,JUN,2800,2830,1/06/1988,,,,,,,727.65,,,
94,,JUL,2830,2861,1/07/1988,,,,,,,,,,
95,,AGO,2861,2892,1/08/1988,,,,,,,,,,
96,,SEPT,2892,2922,1/09/1988,,,,,,,,,,
97,1988,OCT,2922,2953,1/10/1988,,,,,,,,,,
98,,NOV,2953,2983,1/11/1988,,,,,,,728.92,,,
99,,DIC,2983,3014,1/12/1988,,,,,,,,,,
100,,ENE,3014,3045,1/01/1989,,,,,,,,,,
101,,FEB,3045,3073,1/02/1989,,,,712.1,,,728.92,,,
102,,MAR,3073,3104,1/03/1989,,,,,,,,,,
103,,ABR,3104,3134,1/04/1989,,,,711.28,,,728.09,,,
104,,MAY,3134,3165,1/05/1989,,,,,,,,,,
105,,JUN,3165,3195,1/06/1989,,,,711.46,,,,,,
106,,JUL,3195,3226,1/07/1989,,,,,,,,,,
107,,AGO,3226,3257,1/08/1989,,,,,,,,,,
108,,SEPT,3257,3287,1/09/1989,,,,,,,,,,
109,1989,OCT,3287,3318,1/10/1989,,,,711.1,,,,,,
110,,NOV,3318,3348,1/11/1989,,,,,,,,,,
111,,DIC,3348,3379,1/12/1989,,,,,,,,,,
112,,ENE,3379,3410,1/01/1990,,,,711.86,,,732.03,,,
113,,FEB,3410,3438,1/02/1990,,,,,,,,,,
114,,MAR,3438,3469,1/03/1990,,,,,,,,,,
115,,ABR,3469,3499,1/04/1990,,,,711.15,,,731.69,,,
116,,MAY,3499,3530,1/05/1990,,,,,,,,,,
117,,JUN,3530,3560,1/06/1990,,,,710.66,,,732.65,,,
118,,JUL,3560,3591,1/07/1990,,,,,,,,,,
119,,AGO,3591,3622,1/08/1990,,,,,,,,,,
120,,SEPT,3622,3652,1/09/1990,,,,,,,,,,
121,1990,OCT,3652,3683,1/10/1990,,,,,,,,,,
122,,NOV,3683,3713,1/11/1990,,,,711.27,,,732.2,,,
123,,DIC,3713,3744,1/12/1990,,,,,,,,,,
124,,ENE,3744,3775,1/01/1991,,,,,,,,,,
125,,FEB,3775,3803,1/02/1991,,,,,,,,,,
126,,MAR,3803,3834,1/03/1991,,,,,,,,,,
127,,ABR,3834,3864,1/04/1991,,,,712.85,,,735.15,,,
128,,MAY,3864,3895,1/05/1991,,,,,,,,,,
129,,JUN,3895,3925,1/06/1991,,,,,,,,,,
130,,JUL,3925,3956,1/07/1991,,,,712.06,,,734.38,,,
131,,AGO,3956,3987,1/08/1991,,,,,,,,,,
132,,SEPT,3987,4017,1/09/1991,,,,,,,,,,
133,1991,OCT,4017,4048,1/10/1991,,,,,,,,,,
134,,NOV,4048,4078,1/11/1991,,,,,,,,,,
135,,DIC,4078,4109,1/12/1991,,,,,,,,,,
136,,ENE,4109,4140,1/01/1992,,,,,,,,,,
137,,FEB,4140,4169,1/02/1992,,,,710.87,,,,,,
