Point,Easting,Northing,Elevation,Conductance
b1,681564.041,4369515.06,608.117,2.5
b2,682064.041,4369515.06,603.142,2.5
b3,682564.041,4369515.06,600.87,2.5
b4,683064.041,4369515.06,600.274,2.5
b5,683564.041,4369515.06,579.733,2.5
b6,684064.041,4369515.06,576.052,2.5
b7,684064.041,4369015.06,572.642,2.5
b8,684564.041,4369015.06,569.063,2.5
b9,684564.041,4368515.06,561.779,2.5
b10,684564.041,4368015.06,550.459,2.5
b11,684564.041,4367515.06,536.865,2.5
b12,685064.041,4367515.06,531.359,2.5
b13,685564.041,4367515.06,527.695,2.5
b14,685564.041,4367015.06,525.464,2.5
b15,685564.041,4366515.06,515.321,2.5
b16,686064.041,4366515.06,505.76,2.5
b17,686064.041,4366015.06,486.341,2.5
b18,686564.041,4366015.06,471.189,2.5
b19,687064.041,4366015.06,465.665,2.5
b20,687564.041,4366015.06,463.175,2.5
b21,688064.041,4366015.06,450.157,2.5
b22,688064.041,4365515.06,443.334,2.5
b23,688564.041,4365515.06,427.367,2.5
b24,689064.041,4365515.06,377.796,2.5
b25,689564.041,4365515.06,347.175,2.5
t1,650564.041,4398515.06,844.428,100
t2,651064.041,4398515.06,842.612,100
t3,651064.041,4398015.06,840.589,100
t4,651064.041,4397515.06,837.602,100
t5,651064.041,4397015.06,834.422,100
t6,651064.041,4396515.06,832.288,100
t7,650564.041,4396515.06,831.161,100
t8,650564.041,4396015.06,828.344,100
t9,650564.041,4395515.06,826.783,100
t10,650064.041,4395515.06,824.519,100
t11,650064.041,4395015.06,821.796,100
t12,650064.041,4394515.06,819.31,100
t13,649564.041,4394515.06,817.86,100
t14,649564.041,4394015.06,815.215,100
t15,649564.041,4393515.06,814.368,100
t16,649064.041,4393515.06,811.783,100
t17,649064.041,4393015.06,809.961,100
t18,649064.041,4392515.06,807.556,100
t19,649064.041,4392015.06,804.975,100
t20,649064.041,4391515.06,802.426,100
t21,648564.041,4391515.06,800.548,100
t22,648564.041,4391015.06,797.043,100
t23,648564.041,4390515.06,794.012,100
t24,648564.041,4390015.06,791.285,100
t25,648564.041,4389515.06,788.371,100
t26,648564.041,4389015.06,784.288,100
t27,649064.041,4389015.06,782.718,100
t28,649064.041,4388515.06,780.4,100
t29,649064.041,4388015.06,775.117,100
t30,649064.041,4387515.06,770.876,100
t31,649064.041,4387015.06,770.296,100
t32,649564.041,4387015.06,766.503,100
t33,649564.041,4386515.06,762.916,100
t34,650064.041,4386515.06,762.113,100
t35,650064.041,4386015.06,760.974,100
t36,650564.041,4386015.06,756.221,100
t37,650564.041,4385515.06,756.017,100
t38,650564.041,4385015.06,751.656,100
t39,650564.041,4384515.06,748.061,100
t40,651064.041,4384515.06,747.004,100
t41,651064.041,4384015.06,743.772,100
t42,651064.041,4383515.06,741.066,100
t43,651064.041,4383015.06,739.061,100
t44,651564.041,4383015.06,738.731,100
t45,651564.041,4382515.06,736.053,100
t46,652064.041,4382515.06,735.479,100
t47,652064.041,4382015.06,733.038,100
md1,638064.041,4380515.06,824.914,100
md2,638564.041,4380515.06,823.288,100
md3,638564.041,4380015.06,821.661,100
md4,639064.041,4380015.06,820.01,100
md5,639064.041,4379515.06,819.327,100
md6,639564.041,4379515.06,818.148,100
md7,640064.041,4379515.06,815.747,100
md8,640564.041,4379515.06,811.259,100
md9,641064.041,4379515.06,809.233,100
md10,641064.041,4379015.06,811.676,100
md11,641564.041,4379015.06,805.838,100
md12,642064.041,4379015.06,803.077,100
md13,642564.041,4379015.06,801.418,100
md14,643064.041,4379015.06,800.794,100
md15,643564.041,4379015.06,799.314,100
md16,644064.041,4379015.06,795.207,100
md17,644564.041,4379015.06,794.133,100
md18,645064.041,4379015.06,790.935,100
md19,645564.041,4379015.06,791.274,100
md20,646064.041,4379015.06,785.773,100
md21,646564.041,4379015.06,783.859,100
md22,646564.041,4379515.06,780.961,100
md23,647064.041,4379515.06,779.04,100
md24,647064.041,4380015.06,777.55,100
md25,647564.041,4380015.06,775.207,100
md26,648064.041,4380015.06,767.661,100
md27,648564.041,4380015.06,763.414,100
md28,648564.041,4380515.06,762.116,100
md29,649064.041,4380515.06,760.473,100
md30,649564.041,4380515.06,754.649,100
md31,650064.041,4380515.06,750.899,100
md32,650064.041,4381015.06,747.599,100
md33,650564.041,4381015.06,743.857,100
md34,651064.041,4381015.06,741.139,100
md35,651064.041,4381515.06,738.893,100
md36,651564.041,4381515.06,735.565,100
md37,652064.041,4381515.06,732.824,100
mg1,652564.041,4381515.06,728.667,12
mg2,653064.041,4381515.06,727.368,12
mg3,653564.041,4381515.06,725.333,12
mg4,653564.041,4381015.06,725.4,12
mg5,654064.041,4381015.06,721,12
mg6,654064.041,4380515.06,719.5,12
mg7,654564.041,4380515.06,718,12
mg8,654564.041,4380015.06,718,12
mg9,655064.041,4380015.06,716.8,12
mg10,655064.041,4379515.06,717.15,12
mg11,655564.041,4379515.06,715.5,12
mg12,655564.041,4379015.06,714,12
mg13,655564.041,4378515.06,712.5,12
mg14,656064.041,4378515.06,711,12
mg15,656064.041,4378015.06,708,12
mg16,656064.041,4377515.06,708,12
mg17,656064.041,4377015.06,704,12
mg18,656564.041,4377015.06,700.952,12
mg19,657064.041,4377015.06,699.5,12
mg20,657064.041,4376515.06,698.154,12
mg21,657564.041,4376515.06,692.583,12
mg22,658064.041,4376515.06,689.5,12
mg23,658064.041,4376015.06,688,12
mg24,658564.041,4376015.06,686,12
mg25,658564.041,4375515.06,682.875,12
mg26,659064.041,4375515.06,682,12
mg27,659064.041,4375015.06,677.786,12
mg28,659564.041,4375015.06,678,12
mg29,659564.041,4374515.06,673.9,12
mg30,659564.041,4374015.06,673,12
mg31,660064.041,4374015.06,669.875,12
mg32,660064.041,4373515.06,667.5,12
mg33,660564.041,4373515.06,667,12
mg34,660564.041,4373015.06,662.2,12
mg35,661064.041,4373015.06,661.767,12
mg36,661064.041,4372515.06,659.333,12
mg37,661564.041,4372515.06,657,12
mg38,661564.041,4372015.06,655.333,12
mg39,662064.041,4372015.06,654.167,12
mg40,662064.041,4371515.06,651,12
mg41,662564.041,4371515.06,649.3,12
mg42,663064.041,4371515.06,646.8,12
mg43,663564.041,4371515.06,646.909,12
mg44,664064.041,4371515.06,645.143,12
mg45,664064.041,4371015.06,641,12
mg46,664564.041,4371015.06,640.348,12
mg47,664564.041,4370515.06,640.452,12
mg48,665064.041,4370515.06,640.556,12
mg49,665064.041,4370015.06,646.4,12
mg50,665564.041,4370015.06,644.818,12
mg51,666064.041,4370015.06,643.864,12
mg52,666564.041,4370015.06,633.737,12
mg53,666564.041,4369515.06,642.857,12
mg54,666564.041,4369015.06,636,12
mg55,666564.041,4368515.06,629.5,12
mg56,666064.041,4368515.06,617.8,12
mg57,666064.041,4368015.06,620.129,12
mg58,666064.041,4367515.06,613.417,12
mg59,666064.041,4367015.06,607.4,12
mg60,666564.041,4367015.06,605,12
mg61,666564.041,4366515.06,604.2,12
mg62,666564.041,4366015.06,599.4,12
mg63,666564.041,4365515.06,593.308,12
mg64,666564.041,4365015.06,585.647,12
mg65,667064.041,4365015.06,581.947,12
mg66,667064.041,4364515.06,579.824,12
mg67,667564.041,4364515.06,572,12
mg68,667564.041,4364015.06,568.083,12
mg69,667564.041,4363515.06,566.765,12
mg70,667564.041,4363015.06,560.918,12
mg71,668064.041,4363015.06,555.071,12
mg72,668064.041,4362515.06,550.385,12
mg73,668064.041,4362015.06,546.755,12
mg74,668564.041,4362015.06,543.125,12
mg75,668564.041,4361515.06,539.318,12
mg76,669064.041,4361515.06,539.5,12
mg77,669064.041,4361015.06,534.25,12
mg78,669564.041,4361015.06,531.566,12
mg79,669564.041,4360515.06,533.222,12
mg80,670064.041,4360515.06,526.333,12
mg81,670564.041,4360515.06,523.667,12
